Facility	Category	Facilities that need attention	Area of concern title	Area of concern insight	Area of concern evidence	Area of concern domain	Verify on the ground
CC Kayasthagram	At Risk	• BP control at 80%; declined 4% last month. • Multiple indicators below target signal deteriorating programme quality. • Prioritise supervision visit and targeted catch-up plan.	Declining BP control needs attention	BP control dropped 4% last month; multiple indicators trending negatively.	1. BP controlled: 80% (change: -4%) 2. Overdue patients called: 81% (target: ≥80%) 3. Titration rate: 80% (target: ≥80%)	Clinical Practice	• Review patient register for dropout patterns this quarter. • Check call logs are completed and actioned daily. • Confirm titration decisions are documented at each visit.
CC Kargram	On Target	• BP control at 78%; all key indicators meeting targets. • Strong performance across follow-up, stock, and clinical indicators. • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 78% BP control with stable drug supply and follow-up.	1. BP controlled: 78% (target: ≥50%) 2. Drug stock: 107 days (target: ≥60 days) 3. Fudging ratio: 1.6 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month • Review drug ordering process to understand how stock was maintained. • Document specific practices for replication in other facilities.
CC Nij Chaura	On Target	• BP control at 75%; all key indicators meeting targets. • Strong performance across follow-up, stock, and clinical indicators. • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 75% BP control with stable drug supply and follow-up.	1. BP controlled: 75% (target: ≥50%)  2. Drug stock: 103 days (target: ≥60 days)  3. Fudging ratio: 1.1 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Lalarchak	On Target	• BP control at 72%; all key indicators meeting targets. • Strong performance across follow-up, stock, and clinical indicators. • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 72% BP control with stable drug supply and follow-up.	1. BP controlled: 72% (target: ≥50%)  2. Drug stock: 99 days (target: ≥60 days)  3. Fudging ratio: 1.7 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Rajnagor	On Target	• BP control at 62%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 62% BP control with stable drug supply and follow-up.	1. BP controlled: 62% (target: ≥50%)  2. Drug stock: 102 days (target: ≥60 days)  3. Fudging ratio: 2.1 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Choto Desh	Improving	• BP control at 71%; gained 11% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Positive trend requires sustained follow-through	BP control gained 11% this month but titration and retention remain below target.	1. BP controlled: 71% (gain: +11%)  2. Titration rate: 90% (target: ≥80%)  3. Returned to care ≤15 days: 88% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Nandisri	On Target	• BP control at 57%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 57% BP control with stable drug supply and follow-up.	1. BP controlled: 57% (target: ≥50%)  2. Drug stock: 94 days (target: ≥60 days)  3. Fudging ratio: 2.3 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Niyagul	At Risk	• BP control at 56%; declined 6% last month.  • Multiple indicators below target signal deteriorating programme quality.  • Prioritise supervision visit and targeted catch-up plan.	Declining BP control needs attention	BP control dropped 6% last month; multiple indicators trending negatively.	1. BP controlled: 56% (change: -6%)  2. Overdue patients called: 54% (target: ≥80%)  3. Titration rate: 61% (target: ≥80%)	Clinical Practice	• Review patient register for dropout patterns this quarter.  • Check call logs are completed and actioned daily.  • Confirm titration decisions are documented at each visit.
CC Hakurbazar	Improving	• BP control at 69%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 69% (gain: +15%)  2. Titration rate: 78% (target: ≥80%)  3. Returned to care ≤15 days: 44% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Tirasigoan	Critical	• Drug stock critically low at 14 days; immediate resupply needed.  • BP control at 67%; supply gap will worsen outcomes rapidly.  • Emergency stock order must be placed today.	Critical drug stock nearly exhausted	Stock at 14 days; patients risk leaving without medication this week.	1. Drug stock: 14 days (critical threshold: <30 days)  2. BP controlled: 67% (target: ≥50%)  3. Titration rate: 61% (target: ≥80%)	Operational	• Count physical drug stock; verify register matches today.  • Confirm emergency resupply order has been submitted.  • Ask if patients were turned away due to stock shortage.
